ip,端口,延迟,速度
23.227.38.30,443,0,104.21
23.227.38.22,443,0,102.89
8.21.10.1,443,0,100.94
23.227.38.41,443,0,100.78
23.227.38.34,443,0,100.37
23.227.38.4,443,0,100.16
23.227.38.24,443,0,99.84
23.227.38.7,443,0,99.32
23.227.38.9,443,0,99.09
23.227.38.8,443,0,97.82
8.31.160.26,443,0,97.31
23.227.38.23,443,0,96.31
23.227.38.29,443,0,96.16
8.31.160.27,443,0,95.38
23.227.38.25,443,0,94.73
8.21.10.2,443,0,91.81
8.39.207.2,443,0,17.69
8.39.207.1,443,0,14.82
8.20.125.2,443,0,14.46
8.20.125.1,443,0,3.41
198.41.217.191,443,0,0.00
198.41.217.190,443,0,0.00
198.41.217.188,443,0,0.00
198.41.217.193,443,0,0.00
198.41.217.192,443,0,0.00
198.41.217.189,443,0,0.00
198.41.217.196,443,0,0.00
198.41.217.184,443,0,0.00
198.41.217.186,443,0,0.00
198.41.217.187,443,0,0.00
198.41.217.171,443,0,0.00
198.41.217.172,443,0,0.00
198.41.217.173,443,0,0.00
198.41.207.1,443,0,0.00
198.41.206.249,443,0,0.00
198.41.206.250,443,0,0.00
198.41.206.251,443,0,0.00
198.41.207.3,443,0,0.00
198.41.207.4,443,0,0.00
198.41.206.252,443,0,0.00
198.41.204.192,443,0,0.00
198.41.204.199,443,0,0.00
198.41.204.193,443,0,0.00
198.41.204.191,443,0,0.00
198.41.204.196,443,0,0.00
198.41.204.195,443,0,0.00
198.41.199.53,443,0,0.00
198.41.199.44,443,0,0.00
198.41.199.43,443,0,0.00
198.41.203.117,443,0,0.00
198.41.193.48,443,0,0.00
198.41.193.52,443,0,0.00
198.41.193.54,443,0,0.00
198.41.193.51,443,0,0.00
198.41.198.150,443,0,0.00
198.41.198.151,443,0,0.00
198.41.198.160,443,0,0.00
198.41.198.158,443,0,0.00
198.41.198.155,443,0,0.00
198.41.198.149,443,0,0.00
198.41.198.152,443,0,0.00
198.41.198.173,443,0,0.00
198.41.198.148,443,0,0.00
198.41.198.153,443,0,0.00
198.41.197.173,443,0,0.00
198.41.196.33,443,0,0.00
198.41.196.32,443,0,0.00
198.41.193.106,443,0,0.00
198.41.193.105,443,0,0.00
198.41.193.59,443,0,0.00
198.41.193.108,443,0,0.00
198.41.193.55,443,0,0.00
198.41.193.56,443,0,0.00
198.41.193.62,443,0,0.00
198.41.193.49,443,0,0.00
198.41.193.66,443,0,0.00
198.41.193.28,443,0,0.00
198.41.193.29,443,0,0.00
198.41.198.115,443,0,0.00
198.41.193.76,443,0,0.00
190.93.246.85,443,0,0.00
190.93.244.212,443,0,0.00
190.93.244.216,443,0,0.00
198.41.192.100,443,0,0.00
198.41.192.97,443,0,0.00
198.41.192.94,443,0,0.00
198.41.192.36,443,0,0.00
198.41.192.47,443,0,0.00
198.41.192.61,443,0,0.00
198.41.192.63,443,0,0.00
198.41.192.45,443,0,0.00
198.41.192.60,443,0,0.00
198.41.192.34,443,0,0.00
198.41.192.44,443,0,0.00
198.41.192.64,443,0,0.00
198.41.192.46,443,0,0.00
198.41.192.55,443,0,0.00
198.41.192.58,443,0,0.00
198.41.192.33,443,0,0.00
198.41.192.95,443,0,0.00
198.41.192.43,443,0,0.00
198.41.192.59,443,0,0.00
198.41.192.30,443,0,0.00
198.41.192.53,443,0,0.00
198.41.192.52,443,0,0.00
198.41.192.56,443,0,0.00
198.41.192.65,443,0,0.00
198.41.192.62,443,0,0.00
190.93.246.79,443,0,0.00
190.93.245.44,443,0,0.00
190.93.245.40,443,0,0.00
190.93.245.42,443,0,0.00
190.93.244.211,443,0,0.00
190.93.245.149,443,0,0.00
190.93.245.150,443,0,0.00
190.93.245.148,443,0,0.00
198.41.192.89,443,0,0.00
198.41.192.90,443,0,0.00
198.41.192.91,443,0,0.00
188.114.96.154,443,0,0.00
185.146.173.31,443,0,0.00
188.114.96.157,443,0,0.00
188.114.96.151,443,0,0.00
188.114.97.12,443,0,0.00
188.114.97.8,443,0,0.00
188.114.97.9,443,0,0.00
188.114.96.150,443,0,0.00
188.114.96.152,443,0,0.00
188.114.96.149,443,0,0.00
188.114.96.148,443,0,0.00
185.146.173.41,443,0,0.00
185.146.173.253,443,0,0.00
185.146.173.175,443,0,0.00
188.114.96.1,443,0,0.00
185.146.173.177,443,0,0.00
185.146.173.179,443,0,0.00
185.146.173.176,443,0,0.00
185.146.173.174,443,0,0.00
185.146.173.181,443,0,0.00
185.146.173.166,443,0,0.00
185.146.173.173,443,0,0.00
185.146.173.180,443,0,0.00
185.146.173.145,443,0,0.00
185.146.173.147,443,0,0.00
185.146.173.254,443,0,0.00
185.146.173.252,443,0,0.00
185.146.173.165,443,0,0.00
188.114.96.2,443,0,0.00
185.146.173.169,443,0,0.00
185.146.173.250,443,0,0.00
185.146.173.171,443,0,0.00
185.146.173.156,443,0,0.00
185.146.173.139,443,0,0.00
185.146.173.140,443,0,0.00
185.146.173.146,443,0,0.00
185.146.173.42,443,0,0.00
173.245.59.197,443,0,0.00
185.146.173.167,443,0,0.00
185.146.173.38,443,0,0.00
185.146.173.13,443,0,0.00
185.146.173.12,443,0,0.00
173.245.59.193,443,0,0.00
185.146.173.17,443,0,0.00
185.146.173.10,443,0,0.00
185.146.173.16,443,0,0.00
185.146.173.7,443,0,0.00
185.146.173.35,443,0,0.00
185.146.173.32,443,0,0.00
185.146.173.90,443,0,0.00
173.245.59.196,443,0,0.00
185.146.173.14,443,0,0.00
185.146.173.5,443,0,0.00
173.245.59.195,443,0,0.00
185.146.173.9,443,0,0.00
185.146.173.8,443,0,0.00
173.245.59.217,443,0,0.00
173.245.59.204,443,0,0.00
185.146.173.18,443,0,0.00
185.146.173.19,443,0,0.00
185.146.173.11,443,0,0.00
185.146.173.15,443,0,0.00
185.146.173.135,443,0,0.00
185.146.173.24,443,0,0.00
173.245.59.199,443,0,0.00
173.245.59.201,443,0,0.00
173.245.59.194,443,0,0.00
173.245.59.192,443,0,0.00
173.245.59.249,443,0,0.00
173.245.59.250,443,0,0.00
173.245.59.124,443,0,0.00
173.245.59.252,443,0,0.00
173.245.59.128,443,0,0.00
173.245.59.125,443,0,0.00
173.245.59.122,443,0,0.00
173.245.59.247,443,0,0.00
173.245.59.127,443,0,0.00
173.245.59.116,443,0,0.00
173.245.59.248,443,0,0.00
173.245.59.121,443,0,0.00
173.245.59.108,443,0,0.00
173.245.59.110,443,0,0.00
173.245.59.117,443,0,0.00
173.245.59.118,443,0,0.00
173.245.59.114,443,0,0.00
173.245.59.107,443,0,0.00
173.245.59.113,443,0,0.00
173.245.59.226,443,0,0.00
173.245.59.112,443,0,0.00
173.245.59.7,443,0,0.00
173.245.58.253,443,0,0.00
173.245.58.109,443,0,0.00
173.245.59.12,443,0,0.00
173.245.59.23,443,0,0.00
173.245.59.33,443,0,0.00
173.245.58.245,443,0,0.00
173.245.59.20,443,0,0.00
173.245.59.24,443,0,0.00
173.245.58.244,443,0,0.00
173.245.59.22,443,0,0.00
173.245.59.25,443,0,0.00
173.245.59.21,443,0,0.00
173.245.59.15,443,0,0.00
173.245.58.250,443,0,0.00
173.245.58.251,443,0,0.00
173.245.59.31,443,0,0.00
173.245.58.246,443,0,0.00
173.245.59.6,443,0,0.00
173.245.59.5,443,0,0.00
173.245.58.254,443,0,0.00
173.245.59.10,443,0,0.00
173.245.59.9,443,0,0.00
173.245.59.1,443,0,0.00
173.245.59.11,443,0,0.00
173.245.58.249,443,0,0.00
173.245.59.4,443,0,0.00
173.245.59.2,443,0,0.00
173.245.59.8,443,0,0.00
173.245.58.252,443,0,0.00
173.245.49.233,443,0,0.00
173.245.58.187,443,0,0.00
173.245.58.168,443,0,0.00
173.245.58.185,443,0,0.00
173.245.58.186,443,0,0.00
173.245.58.176,443,0,0.00
173.245.58.171,443,0,0.00
173.245.58.151,443,0,0.00
173.245.58.170,443,0,0.00
173.245.58.188,443,0,0.00
173.245.49.182,443,0,0.00
173.245.58.172,443,0,0.00
173.245.58.180,443,0,0.00
173.245.58.189,443,0,0.00
173.245.49.195,443,0,0.00
173.245.58.182,443,0,0.00
173.245.49.196,443,0,0.00
173.245.58.167,443,0,0.00
173.245.58.177,443,0,0.00
173.245.59.18,443,0,0.00
173.245.49.222,443,0,0.00
173.245.49.244,443,0,0.00
173.245.49.247,443,0,0.00
173.245.49.201,443,0,0.00
173.245.59.32,443,0,0.00
173.245.58.209,443,0,0.00
173.245.49.200,443,0,0.00
173.245.49.253,443,0,0.00
173.245.49.251,443,0,0.00
173.245.49.250,443,0,0.00
173.245.49.218,443,0,0.00
173.245.49.249,443,0,0.00
173.245.49.246,443,0,0.00
173.245.49.241,443,0,0.00
173.245.49.252,443,0,0.00
173.245.58.201,443,0,0.00
173.245.49.242,443,0,0.00
173.245.58.199,443,0,0.00
173.245.49.254,443,0,0.00
173.245.49.248,443,0,0.00
173.245.58.208,443,0,0.00
173.245.58.204,443,0,0.00
173.245.49.16,443,0,0.00
173.245.49.19,443,0,0.00
173.245.49.234,443,0,0.00
173.245.58.184,443,0,0.00
173.245.49.168,443,0,0.00
173.245.49.191,443,0,0.00
173.245.49.183,443,0,0.00
173.245.49.180,443,0,0.00
173.245.49.47,443,0,0.00
173.245.49.217,443,0,0.00
173.245.58.210,443,0,0.00
173.245.49.35,443,0,0.00
173.245.49.185,443,0,0.00
173.245.49.50,443,0,0.00
173.245.49.189,443,0,0.00
173.245.58.181,443,0,0.00
173.245.58.174,443,0,0.00
173.245.49.46,443,0,0.00
173.245.58.190,443,0,0.00
173.245.49.9,443,0,0.00
173.245.49.175,443,0,0.00
173.245.58.129,443,0,0.00
173.245.49.173,443,0,0.00
173.245.49.169,443,0,0.00
173.245.59.85,443,0,0.00
173.245.59.61,443,0,0.00
173.245.49.69,443,0,0.00
173.245.59.84,443,0,0.00
173.245.59.75,443,0,0.00
173.245.59.52,443,0,0.00
173.245.59.70,443,0,0.00
173.245.58.37,443,0,0.00
173.245.58.98,443,0,0.00
173.245.58.110,443,0,0.00
173.245.58.103,443,0,0.00
173.245.58.49,443,0,0.00
173.245.58.108,443,0,0.00
173.245.59.59,443,0,0.00
173.245.59.62,443,0,0.00
173.245.59.69,443,0,0.00
173.245.59.79,443,0,0.00
173.245.59.83,443,0,0.00
173.245.59.72,443,0,0.00
173.245.59.63,443,0,0.00
173.245.59.82,443,0,0.00
173.245.58.5,443,0,0.00
173.245.58.74,443,0,0.00
173.245.58.155,443,0,0.00
173.245.49.107,443,0,0.00
173.245.58.148,443,0,0.00
173.245.49.20,443,0,0.00
173.245.49.85,443,0,0.00
173.245.59.88,443,0,0.00
173.245.59.90,443,0,0.00
173.245.59.65,443,0,0.00
173.245.59.87,443,0,0.00
173.245.59.89,443,0,0.00
173.245.58.101,443,0,0.00
173.245.49.192,443,0,0.00
173.245.59.92,443,0,0.00
173.245.59.91,443,0,0.00
173.245.58.152,443,0,0.00
173.245.58.147,443,0,0.00
173.245.58.149,443,0,0.00
173.245.59.81,443,0,0.00
173.245.58.154,443,0,0.00
173.245.58.145,443,0,0.00
173.245.59.67,443,0,0.00
173.245.59.39,443,0,0.00
173.245.49.30,443,0,0.00
173.245.49.95,443,0,0.00
173.245.58.68,443,0,0.00
173.245.59.86,443,0,0.00
173.245.59.17,443,0,0.00
173.245.59.19,443,0,0.00
173.245.49.152,443,0,0.00
173.245.49.151,443,0,0.00
173.245.49.150,443,0,0.00
173.245.49.21,443,0,0.00
173.245.49.23,443,0,0.00
173.245.49.205,443,0,0.00
173.245.49.204,443,0,0.00
173.245.49.135,443,0,0.00
173.245.49.34,443,0,0.00
173.245.49.22,443,0,0.00
173.245.49.31,443,0,0.00
173.245.49.117,443,0,0.00
173.245.49.33,443,0,0.00
173.245.49.122,443,0,0.00
173.245.58.191,443,0,0.00
173.245.58.200,443,0,0.00
173.245.58.203,443,0,0.00
173.245.49.12,443,0,0.00
173.245.49.17,443,0,0.00
173.245.49.188,443,0,0.00
173.245.49.125,443,0,0.00
173.245.49.124,443,0,0.00
173.245.49.140,443,0,0.00
173.245.49.143,443,0,0.00
173.245.49.181,443,0,0.00
173.245.58.161,443,0,0.00
173.245.49.141,443,0,0.00
173.245.49.49,443,0,0.00
173.245.49.26,443,0,0.00
173.245.49.51,443,0,0.00
173.245.49.142,443,0,0.00
173.245.49.27,443,0,0.00
173.245.49.236,443,0,0.00
173.245.49.224,443,0,0.00
173.245.49.187,443,0,0.00
173.245.58.175,443,0,0.00
173.245.49.190,443,0,0.00
173.245.58.178,443,0,0.00
173.245.58.165,443,0,0.00
173.245.58.160,443,0,0.00
173.245.49.84,443,0,0.00
173.245.58.162,443,0,0.00
173.245.58.164,443,0,0.00
173.245.58.157,443,0,0.00
173.245.49.18,443,0,0.00
173.245.49.127,443,0,0.00
173.245.49.193,443,0,0.00
173.245.58.143,443,0,0.00
173.245.58.100,443,0,0.00
173.245.49.93,443,0,0.00
173.245.58.121,443,0,0.00
173.245.58.111,443,0,0.00
173.245.58.122,443,0,0.00
173.245.58.120,443,0,0.00
173.245.58.124,443,0,0.00
173.245.58.159,443,0,0.00
173.245.58.158,443,0,0.00
173.245.49.184,443,0,0.00
173.245.58.128,443,0,0.00
173.245.58.139,443,0,0.00
173.245.58.144,443,0,0.00
173.245.58.64,443,0,0.00
173.245.58.138,443,0,0.00
173.245.58.117,443,0,0.00
173.245.58.136,443,0,0.00
173.245.58.54,443,0,0.00
173.245.58.123,443,0,0.00
173.245.58.118,443,0,0.00
173.245.59.66,443,0,0.00
173.245.59.71,443,0,0.00
173.245.58.130,443,0,0.00
173.245.58.126,443,0,0.00
173.245.58.50,443,0,0.00
173.245.58.156,443,0,0.00
173.245.59.68,443,0,0.00
173.245.58.53,443,0,0.00
173.245.58.141,443,0,0.00
173.245.58.2,443,0,0.00
173.245.59.56,443,0,0.00
173.245.58.146,443,0,0.00
173.245.59.64,443,0,0.00
173.245.58.66,443,0,0.00
173.245.49.130,443,0,0.00
173.245.49.83,443,0,0.00
173.245.49.128,443,0,0.00
173.245.58.4,443,0,0.00
173.245.58.60,443,0,0.00
173.245.58.63,443,0,0.00
173.245.58.99,443,0,0.00
173.245.58.72,443,0,0.00
173.245.58.1,443,0,0.00
173.245.58.73,443,0,0.00
173.245.49.219,443,0,0.00
173.245.49.235,443,0,0.00
173.245.49.232,443,0,0.00
173.245.49.231,443,0,0.00
173.245.49.174,443,0,0.00
173.245.49.238,443,0,0.00
173.245.49.170,443,0,0.00
173.245.49.237,443,0,0.00
173.245.49.186,443,0,0.00
173.245.49.226,443,0,0.00
173.245.49.225,443,0,0.00
173.245.49.194,443,0,0.00
173.245.58.163,443,0,0.00
173.245.58.153,443,0,0.00
173.245.58.166,443,0,0.00
173.245.58.119,443,0,0.00
173.245.58.116,443,0,0.00
173.245.58.137,443,0,0.00
173.245.58.125,443,0,0.00
173.245.58.133,443,0,0.00
173.245.58.132,443,0,0.00
173.245.58.134,443,0,0.00
173.245.58.140,443,0,0.00
173.245.58.135,443,0,0.00
173.245.58.56,443,0,0.00
173.245.58.150,443,0,0.00
173.245.58.127,443,0,0.00
173.245.58.142,443,0,0.00
173.245.58.95,443,0,0.00
173.245.49.109,443,0,0.00
173.245.58.94,443,0,0.00
173.245.49.126,443,0,0.00
173.245.58.7,443,0,0.00
173.245.49.80,443,0,0.00
